"vertex","labels"
"hei",1
"gfh",1
"ghh",1
"ifh",1
"hhh",1
"ggg",1
"hgg",1
"gei",1
"hfh",1
"ihh",1
"iei",1
"jhh",1
"jei",1
"fhh",1
"fgg",1
"hjj",1
"gii",1
"ffh",1
"iii",1
"ehh",1
"idj",1
"hii",1
"egg",1
"igg",1
"jfh",1
"jgg",1
"fii",1
"fei",1
"jii",1
"efh",1
"gjj",1
"hdj",1
"kfh",1
"jdj",1
"fjj",1
"jjj",1
"ijj",1
"kdj",1
"gdj",1
"kei",1
"eii",1
"kii",1
"khh",1
"hkk",1
"dgg",1
"kgg",1
"gkk",1
"ikk",1
"lfh",1
"dhh",1
"dfh",1
"lei",1
"ldj",1
"jck",1
"ick",1
"jkk",1
"lgg",1
"lii",1
"lhh",1
"eei",1
"kck",1
"fdj",1
"kjj",1
"kkk",1
"lck",1
"mfh",1
"mdj",1
"hll",1
"ljj",1
"hck",1
"fkk",1
"mgg",1
"mei",1
"jll",1
"ill",1
"mhh",1
"kbl",1
"jbl",1
"mii",1
"mck",1
"lkk",1
"gll",1
"ibl",1
"kll",1
"mjj",1
"lbl",1
"gck",1
"mkk",1
"lll",1
"mbl",1
"hbl",1
"mll",1
"ejj",1
"jmm",1
"kmm",1
"imm",1
"lam",1
"kam",1
"lmm",1
"jam",1
"mmm",1
"mam",1
"fck",1
"hmm",1
"gbl",1
"edj",1
"iam",1
"fbl",2
"ekk",3
"eck",4
"gmm",5
"ham",6
"dii",7
"dei",8
"fll",9
"gam",10
