"out","swSize","beta","window","method", "data"
"2.835","10",NA,"10","MST-VB","London"
"3.753","12",NA,"12","MST-VB","London"
"11.153","14",NA,"14","MST-VB","London"
"13.856","6",NA,"6","MST-VB","London"
"5.922","8",NA,"8","MST-VB","London"
"9.506","10",NA,"10","MST-EB","London"
"13.354","12",NA,"12","MST-EB","London"
"10.294","14",NA,"14","MST-EB","London"
"7.96","6",NA,"6","MST-EB","London"
"7.658","8",NA,"8","MST-EB","London"
"0.781","10",NA,"10","HC","London"
"2.04","12",NA,"12","HC","London"
"2.497","14",NA,"14","HC","London"
"0.988","6",NA,"6","HC","London"
"1.217","8",NA,"8","HC","London"
"5.937","10","0.3","10","Proposed","London"
"6.892","10","0.35","10","Proposed","London"
"6.611","10","0.4","10","Proposed","London"
"8.197","10","0.45","10","Proposed","London"
"7.653","10","0.5","10","Proposed","London"
"8.077","10","0.55","10","Proposed","London"
"7.233","10","0.6","10","Proposed","London"
"8.059","10","0.65","10","Proposed","London"
"9.318","10","0.7","10","Proposed","London"
"7.037","10","0.75","10","Proposed","London"
"7.474","10","0.8","10","Proposed","London"
"5.008","12","0.3","12","Proposed","London"
"7.246","12","0.35","12","Proposed","London"
"4.742","12","0.4","12","Proposed","London"
"5.557","12","0.45","12","Proposed","London"
"5.332","12","0.5","12","Proposed","London"
"5.255","12","0.55","12","Proposed","London"
"6.66","12","0.6","12","Proposed","London"
"5.05","12","0.65","12","Proposed","London"
"5.726","12","0.7","12","Proposed","London"
"7.117","12","0.75","12","Proposed","London"
"5.792","12","0.8","12","Proposed","London"
"4.836","14","0.3","14","Proposed","London"
"8.987","14","0.35","14","Proposed","London"
"11.934","14","0.4","14","Proposed","London"
"4.288","14","0.45","14","Proposed","London"
"9.467","14","0.5","14","Proposed","London"
"7.25","14","0.55","14","Proposed","London"
"4.616","14","0.6","14","Proposed","London"
"4.701","14","0.65","14","Proposed","London"
"10.53","14","0.7","14","Proposed","London"
"3.887","14","0.75","14","Proposed","London"
"4.897","14","0.8","14","Proposed","London"
"4.006","16","0.3","16","Proposed","London"
"4.781","16","0.35","16","Proposed","London"
"8.036","16","0.4","16","Proposed","London"
"5.045","16","0.45","16","Proposed","London"
"5.787","16","0.5","16","Proposed","London"
"4.908","16","0.55","16","Proposed","London"
"5.153","16","0.6","16","Proposed","London"
"7.391","16","0.65","16","Proposed","London"
"5.809","16","0.7","16","Proposed","London"
"5.804","16","0.75","16","Proposed","London"
"4.174","16","0.8","16","Proposed","London"
"2.524","18","0.3","18","Proposed","London"
"1.864","18","0.35","18","Proposed","London"
"6.757","18","0.4","18","Proposed","London"
"4.303","18","0.45","18","Proposed","London"
"4.28","18","0.5","18","Proposed","London"
"2.772","18","0.55","18","Proposed","London"
"6.016","18","0.6","18","Proposed","London"
"4.553","18","0.65","18","Proposed","London"
"5.388","18","0.7","18","Proposed","London"
"5.628","18","0.75","18","Proposed","London"
"9.752","18","0.8","18","Proposed","London"
"5.636","20","0.3","20","Proposed","London"
"6.4","20","0.35","20","Proposed","London"
"5.628","20","0.4","20","Proposed","London"
"5.785","20","0.45","20","Proposed","London"
"5.585","20","0.5","20","Proposed","London"
"4.826","20","0.55","20","Proposed","London"
"7.394","20","0.6","20","Proposed","London"
"5.433","20","0.65","20","Proposed","London"
"6.046","20","0.7","20","Proposed","London"
"5.112","20","0.75","20","Proposed","London"
"11.396","20","0.8","20","Proposed","London"
"3.406","6","0.3","6","Proposed","London"
"3.221","6","0.35","6","Proposed","London"
"4.152","6","0.4","6","Proposed","London"
"4.662","6","0.45","6","Proposed","London"
"3.994","6","0.5","6","Proposed","London"
"3.973","6","0.55","6","Proposed","London"
"4.219","6","0.6","6","Proposed","London"
"4.781","6","0.65","6","Proposed","London"
"6.095","6","0.7","6","Proposed","London"
"5.545","6","0.75","6","Proposed","London"
"4.996","6","0.8","6","Proposed","London"
"4.267","8","0.3","8","Proposed","London"
"3.83","8","0.35","8","Proposed","London"
"3.11","8","0.4","8","Proposed","London"
"4.938","8","0.45","8","Proposed","London"
"4.711","8","0.5","8","Proposed","London"
"4.119","8","0.55","8","Proposed","London"
"5.633","8","0.6","8","Proposed","London"
"4.816","8","0.65","8","Proposed","London"
"4.642","8","0.7","8","Proposed","London"
"4.583","8","0.75","8","Proposed","London"
"4.51","8","0.8","8","Proposed","London"
"1.855","10",NA,"10","Walktrap3","London"
"12.764","12",NA,"12","Walktrap3","London"
"3.085","14",NA,"14","Walktrap3","London"
"12.135","16",NA,"16","Walktrap3","London"
"2.691","18",NA,"18","Walktrap3","London"
"1.668","20",NA,"20","Walktrap3","London"
"6.995","6",NA,"6","Walktrap3","London"
"1.436","8",NA,"8","Walktrap3","London"
"3.206","10",NA,"10","Walktrap4","London"
"12.764","12",NA,"12","Walktrap4","London"
"3.085","14",NA,"14","Walktrap4","London"
"12.135","16",NA,"16","Walktrap4","London"
"2.977","18",NA,"18","Walktrap4","London"
"1.695","20",NA,"20","Walktrap4","London"
"6.995","6",NA,"6","Walktrap4","London"
"1.508","8",NA,"8","Walktrap4","London"
"3.041","10",NA,"10","Multilevel","London"
"7.358","12",NA,"12","Multilevel","London"
"12.725","14",NA,"14","Multilevel","London"
"2.943","16",NA,"16","Multilevel","London"
