"edgeWeight","edgeDensity","avg.edgeDensity","beta","window","method"
"0.552","0.5","0.574","0.3","6","Proposed"
"0.614","0.5","0.57","0.35","6","Proposed"
"0.575","0.5","0.585","0.4","6","Proposed"
"0.546","0.5","0.59","0.45","6","Proposed"
"0.499","0.5","0.648","0.5","6","Proposed"
"0.432","0.5","0.64","0.55","6","Proposed"
"0.397","0.5","0.725","0.6","6","Proposed"
"0.346","0.5","0.75","0.65","6","Proposed"
"0.287","0.5","0.799","0.7","6","Proposed"
"0.226","0.5","0.768","0.75","6","Proposed"
"0.199","0.5","0.762","0.8","6","Proposed"
"0.281","0.405","0.492",NA,"6","MST-VB"
"0.335","0.478","0.528",NA,"6","Multilevel"
"0.432","0.483","0.51",NA,"6","FG"
"0.295","0.431","0.431",NA,"6","EB"
"0.202","0.3","0.642",NA,"6","Infomap"
"0.612","0.481","0.636","0.3","8","Proposed"
"0.612","0.5","0.662","0.35","8","Proposed"
"0.488","0.5","0.657","0.4","8","Proposed"
"0.49","0.5","0.704","0.45","8","Proposed"
"0.49","0.5","0.775","0.5","8","Proposed"
"0.444","0.5","0.747","0.55","8","Proposed"
"0.369","0.5","0.776","0.6","8","Proposed"
"0.329","0.5","0.824","0.65","8","Proposed"
"0.268","0.5","0.824","0.7","8","Proposed"
"0.244","0.5","0.804","0.75","8","Proposed"
"0.186","0.5","0.867","0.8","8","Proposed"
"0.263","0.329","0.476",NA,"8","MST-VB"
"0.336","0.419","0.573",NA,"8","Multilevel"
"0.336","0.268","0.427",NA,"8","FG"
"0.285","0.5","0.523",NA,"8","EB"
"0.513","0.333","0.671",NA,"8","Infomap"
"0.558","0.417","0.516","0.3","10","Proposed"
"0.558","0.5","0.539","0.35","10","Proposed"
"0.576","0.5","0.55","0.4","10","Proposed"
"0.476","0.5","0.556","0.45","10","Proposed"
"0.438","0.5","0.576","0.5","10","Proposed"
"0.439","0.5","0.614","0.55","10","Proposed"
"0.392","0.5","0.65","0.6","10","Proposed"
"0.322","0.5","0.599","0.65","10","Proposed"
"0.298","0.5","0.663","0.7","10","Proposed"
"0.238","0.5","0.647","0.75","10","Proposed"
"0.196","0.5","0.669","0.8","10","Proposed"
"0.24","0.278","0.375",NA,"10","MST-VB"
"0.3","0.346","0.364",NA,"10","Multilevel"
"0.301","0.362","0.378",NA,"10","FG"
"0.719","0.3","0.475",NA,"10","EB"
"0.169","0.214","0.553",NA,"10","Infomap"
"0.537","0.417","0.569","0.3","12","Proposed"
"0.537","0.5","0.637","0.35","12","Proposed"
"0.537","0.5","0.618","0.4","12","Proposed"
"0.548","0.5","0.614","0.45","12","Proposed"
"0.446","0.5","0.652","0.5","12","Proposed"
"0.43","0.5","0.684","0.55","12","Proposed"
"0.391","0.5","0.655","0.6","12","Proposed"
"0.338","0.5","0.68","0.65","12","Proposed"
"0.286","0.5","0.706","0.7","12","Proposed"
"0.25","0.5","0.734","0.75","12","Proposed"
"0.2","0.5","0.721","0.8","12","Proposed"
"0.28","0.277","0.407",NA,"12","MST-VB"
